Date,District,Rain,rain,month,year,day
2010-02-13,Arcot,-,0.0,2,2010,13
2010-02-13,Gudiyatham,-,0.0,2,2010,13
2010-02-13,Melalathur,-,0.0,2,2010,13
2010-02-13,Sholingur,-,0.0,2,2010,13
2010-02-13,Tirupattur,-,0.0,2,2010,13
2010-02-13,Vaniyambadi,-,0.0,2,2010,13
2010-02-13,Vellore,-,0.0,2,2010,13
2010-02-13,Wallajah,-,0.0,2,2010,13
2010-02-14,Alangayam,-,0.0,2,2010,14
2010-02-14,Ambur,-,0.0,2,2010,14
2010-02-14,Arakkonam,-,0.0,2,2010,14
2010-02-14,Arcot,-,0.0,2,2010,14
2010-02-14,Gudiyatham,-,0.0,2,2010,14
2010-02-14,Melalathur,-,0.0,2,2010,14
2010-02-14,Sholingur,-,0.0,2,2010,14
2010-02-14,Tirupattur,-,0.0,2,2010,14
2010-02-14,Vaniyambadi,-,0.0,2,2010,14
2010-02-14,Vellore,-,0.0,2,2010,14
2010-02-14,Wallajah,-,0.0,2,2010,14
2010-02-15,Alangayam,-,0.0,2,2010,15
2010-02-15,Ambur,-,0.0,2,2010,15
2010-02-15,Arakkonam,-,0.0,2,2010,15
2010-02-15,Arcot,-,0.0,2,2010,15
2010-02-15,Gudiyatham,-,0.0,2,2010,15
2010-02-15,Melalathur,-,0.0,2,2010,15
2010-02-15,Sholingur,-,0.0,2,2010,15
2010-02-15,Tirupattur,-,0.0,2,2010,15
2010-02-15,Vaniyambadi,-,0.0,2,2010,15
2010-02-15,Vellore,-,0.0,2,2010,15
2010-02-15,Wallajah,-,0.0,2,2010,15
2010-02-16,Alangayam,-,0.0,2,2010,16
2010-02-16,Ambur,-,0.0,2,2010,16
2010-02-16,Arakkonam,-,0.0,2,2010,16
2010-02-16,Arcot,-,0.0,2,2010,16
2010-02-16,Gudiyatham,-,0.0,2,2010,16
2010-02-16,Melalathur,-,0.0,2,2010,16
2010-02-16,Sholingur,-,0.0,2,2010,16
2010-02-16,Tirupattur,-,0.0,2,2010,16
2010-02-16,Vaniyambadi,-,0.0,2,2010,16
2010-02-16,Vellore,-,0.0,2,2010,16
2010-02-16,Wallajah,-,0.0,2,2010,16
2010-02-17,Alangayam,-,0.0,2,2010,17
2010-02-17,Ambur,-,0.0,2,2010,17
2010-02-17,Arakkonam,-,0.0,2,2010,17
2010-02-17,Arcot,-,0.0,2,2010,17
2010-02-17,Gudiyatham,-,0.0,2,2010,17
2010-02-17,Melalathur,-,0.0,2,2010,17
2010-02-17,Sholingur,-,0.0,2,2010,17
2010-02-17,Tirupattur,-,0.0,2,2010,17
2010-02-17,Vaniyambadi,-,0.0,2,2010,17
2010-02-17,Vellore,-,0.0,2,2010,17
